codigo,nombre,categoria,proveedor,precio_unidad,precio_10,precio_50,precio_100,precio_bulto,cantidad_bulto,observaciones,fuente_fila,activo
H1-0003,Bandejas cartón rectangular Nº 1,BANDEJAS DE CARTON,,,600,2000,3200,48600,x 18 paq x 100 unid,,3,TRUE
H1-0004,Bandejas cartón rectangular Nº 2 (20x17 cm aprox),BANDEJAS DE CARTON,,,800,2500,3700,49500,x 15 paq. X 100 unid,,4,TRUE
H1-0005,Bandejas cartón rectangular Nº 3 (17x22 cm aprox),BANDEJAS DE CARTON,,,1000,3000,4700,48000,x 12 paq. X 100 unid,,5,TRUE
H1-0006,Bandejas cartón rectangular Nº 4 (21x26 cm aprox),BANDEJAS DE CARTON,,,1000,3200,5200,41400,x 9 paq. X 100 unid,,6,TRUE
H1-0007,Bandejas cartón rectangular Nº 5 (20x27 cm aprox),BANDEJAS DE CARTON,,,1000,3600,6300,50400,x 9 paq. X 100 unid,,7,TRUE
H1-0008,Bandejas cartón rectangular Nº 6 (25x31 cm aprox),BANDEJAS DE CARTON,,,1500,5500,9500,50400,x 6 paq. X 100 unid,,8,TRUE
H1-0009,Bandejas cartón rectangular Nº 6 ECO,BANDEJAS DE CARTON,,,1000,4000,7000,,x 6 paq de 100 unid,,9,TRUE
H1-0010,Bandejas cartón rectangular Nº 7 (25x37 cm aprox),BANDEJAS DE CARTON,,,1500,6000,11000,55800,x 6 paq. X 100 unid,,10,TRUE
H1-0011,Bandejas cartón rectangular Nº 8 ( x cm aprox),BANDEJAS DE CARTON,,,2000,8000,14500,50000,x 4 paq. X 100 unid,,11,TRUE
H1-0013,Bandejas cartón redondas Nº 12 (diametro 18/20 cm aprox),BANDEJAS DE CARTON,,,1000,3000,4500,48000,x 12 paq. X 100 unid,,13,TRUE
H1-0014,Bandejas cartón redondas Nº 12 1/2 (diametro 22 cm aprox),BANDEJAS DE CARTON,,,1000,3500,5600,60000,x 12 paq. X 100 unid,,14,TRUE
H1-0015,Bandejas cartón redondas Nº 13 (diametro 24 cm aprox),BANDEJAS DE CARTON,,,1200,4000,6300,50400,x 9 paq. X 100 unid,,15,TRUE
H1-0016,"Bandejas cartón redondas Nº 13 1/2 (diametro 26,5 cm aprox)",BANDEJAS DE CARTON,,,1300,4200,7100,56700,x 9 paq. X 100 unid,,16,TRUE
H1-0017,Bandejas cartón redondas Nº 14 (diametro 28 cm aprox),BANDEJAS DE CARTON,,,1500,5500,9300,73800,x 9 paq. X 100 unid,,17,TRUE
H1-0018,"Bandejas cartón redondas Nº 15 (diametro 31,5 cm aprox)",BANDEJAS DE CARTON,,,1500,6500,11500,63000,x 6 paq. X 100 unid,,18,TRUE
H1-0019,Bandejas cartón redondas Nº 16 (diametro 36 cm aprox),BANDEJAS DE CARTON,,,2000,8000,14500,52000,x 4 paq. X 100 unid,,19,TRUE
H1-0021,Conos Fritas ( Van),BANDEJAS DE CARTON,,,,,3400,15000,500 unid,,21,TRUE
H1-0022,Porta Pancho (Van) (largo 25 cm),BANDEJAS DE CARTON,,,,,3100,13500,500 unid,,22,TRUE
H1-0023,Porta Pancho promo (corto 16 cm),BANDEJAS DE CARTON,,,,,1200,10500,1000 unid,,23,TRUE
H1-0024,Porta Pancho Cartulina blanco (largo 22 cm),BANDEJAS DE CARTON,,,,,2300,20000,1000 unid,,24,TRUE
H1-0026,Palito Helado Natural (paq x 50 unid),BANDEJAS DE CARTON,,1000,8500,,,150000,caja x 200 paq de 50,,26,TRUE
H1-0027,Palito Helado Color (paq x 50 unid),BANDEJAS DE CARTON,,1200,10000,,,180000,caja x 200 paq de 50,,27,TRUE
H1-0030,Bandeja 101 (80x108),BANDEJAS DE CARTON,,,,3000,4600,64000,1600 unid,,30,TRUE
H1-0031,Tapa 101,BANDEJAS DE CARTON,,,,2500,4100,57600,1600 unid,,31,TRUE
H1-0033,Bandeja 102 (110x150),BANDEJAS DE CARTON,,,,5000,8100,86400,1200 unid,,33,TRUE
H1-0034,Tapa 102,BANDEJAS DE CARTON,,,,4000,6900,36600,600 unid,,34,TRUE
H1-0036,Bandeja 103 (138x179),BANDEJAS DE CARTON,,,,6500,11000,97000,1000 unid,,36,TRUE
H1-0037,Tapa 103,BANDEJAS DE CARTON,,,,5500,9500,42000,500 unid,,37,TRUE
H1-0039,Bandeja 105 ovalada (170x232),BANDEJAS DE CARTON,,,,9000,16000,84000,600 unid,,39,TRUE
H1-0040,Tapa 105 ovalada,BANDEJAS DE CARTON,,,,7000,12000,31500,300 unid,,40,TRUE
H1-0042,Bandeja 105 rectangular Promo al precio de la ovalada con tapa,BANDEJAS DE CARTON,,500,3500,15000,28000,,,,42,TRUE
H1-0043,Tapa 105 rectangualr,BANDEJAS DE CARTON,,,,,,,,,43,TRUE
H1-0045,Bandeja 107 (191x271),BANDEJAS DE CARTON,,,,12500,23000,82000,400 unid,,45,TRUE
H1-0046,Tapa 107,BANDEJAS DE CARTON,,,,10500,19100,34000,x 200 unid,,46,TRUE
H1-0048,Bandejas plástico micro Liviana Nº 102 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS LIVIANA (PE),,300,1500,5000,9000,120000,1500 unid,,48,TRUE
H1-0049,Bandejas plástico micro Liviana Nº 103 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS LIVIANA (PE),,400,2000,7000,13000,138000,1200 unid,,49,TRUE
H1-0050,Bandejas plástico micro Liviana Nº 105 x 100 unid.ovalada Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS LIVIANA (PE),,400,2500,10000,18600,99000,600 unid,,50,TRUE
H1-0051,Bandejas plástico micro Liviana Nº 107 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS LIVIANA (PE),,500,3500,14000,26100,94000,400 unid,,51,TRUE
H1-0053,Bandejas plástico micro Nº 101 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS PESADA (PP),,,,5000,8000,112000,1600 unid,,53,TRUE
H1-0054,Bandejas plástico micro Nº 102 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS PESADA (PP),,,,6500,11500,120000,1200 unid,,54,TRUE
H1-0055,Bandejas plástico micro Nº 103 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS PESADA (PP),,,,10500,19500,170000,1000 unid,,55,TRUE
H1-0056,Bandejas plástico micro Nº 105 x 100 unid.ovalada Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS PESADA (PP),,,,16500,31000,163200,600 unid,,56,TRUE
H1-0057,Bandejas plástico micro Nº 105 x 100 unid. Rectangular Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS PESADA (PP),,,,17500,32500,171000,600 unid,,57,TRUE
H1-0058,Bandejas plástico micro Nº 107 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS PESADA (PP),,,,,,,,,58,TRUE
H1-0061,Tapas micro 101 x 100 unid. Cotnyl,TAPA COTNYL Compatible MICRO PESADA Y LIVIANA,,,,3500,6000,84800,1600 unid,,61,TRUE
H1-0062,Tapas micro 102 x 100 unid. ( viene por 50 unid.) Cotnyl,TAPA COTNYL Compatible MICRO PESADA Y LIVIANA,,,,6000,10500,55200,600 unid,,62,TRUE
H1-0063,Tapas micro 103 x 100 unid. ( viene por 50 unid.) Cotnyl,TAPA COTNYL Compatible MICRO PESADA Y LIVIANA,,,,8000,14700,65000,500 unid,,63,TRUE
H1-0064,Tapas micro 105 oval. x 100 unid. ( viene por 50 unid.) Cot,TAPA COTNYL Compatible MICRO PESADA Y LIVIANA,,,,12500,23500,63000,300 unid,,64,TRUE
H1-0067,Bandeja 105 micro liviana Eco,BANDEJAS DE PLÁSTICO MICROONDAS LIVIANA ( eco),,,,,12000,63000,600 unid,,67,TRUE
H1-0070,"Estuche 2508 (22,5x15,5x8) Frio (ideal para alfajorecitos)",BANDEJAS DE PLÁSTICO Zaplast,,1200,10000,40000,78000,131000,caja x 200 unid,,70,TRUE
H1-0072,Estuche TBE 103,ESTUCHES BISAGRA TBE FRIO(cotnyl),,600,4500,20000,35500,63000,Bulto x 200,,72,TRUE
H1-0073,Estuche TBE 105 OV,ESTUCHES BISAGRA TBE FRIO(cotnyl),,800,6500,29000,54500,97000,Bulto x 200,,73,TRUE
H1-0076,Estuche 142 (102) (PPE102),ESTUCHES BISAGRA PPE Micro (cotnyl),,600,4500,19000,36000,132000,Bulto x 400,,76,TRUE
H1-0077,Estuche 143 (103) (PPE103),ESTUCHES BISAGRA PPE Micro (cotnyl),,800,6000,28000,53000,94000,Bulto x 200,,77,TRUE
H1-0078,Estuche 145 (105 oval) (PPE 105OV),ESTUCHES BISAGRA PPE Micro (cotnyl),,1000,8500,40000,77500,137000,Bulto x 200,,78,TRUE
H1-0081,Ensaladera Genoa Black Chica (400cc) (tapa 170 cristal o base genoa negra),ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,500,3300,14500,26500,245000,1000 unid,,81,TRUE
H1-0082,Ensaladera Genoa Cristal Chica (400cc) (tapa 170 cristal o base genoa negra),ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,500,3000,12500,23000,21000,1000 unid,,82,TRUE
H1-0084,Ensaladera Genoa Negra Mediana (650cc) (tapa 170 cristal o base genoa negra),ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,500,3200,14000,25500,235000,1000 unid,,84,TRUE
H1-0086,Ensaladera Genoa Grande Cristal (850cc) (tapa 170 cristal o base genoa negra),ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,600,4500,19500,35500,330000,1000 unid,,86,TRUE
H1-0087,Ensaladera Genoa Grande Negra (850cc) (tapa 170 cristal o base genoa negra),ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,500,3600,15500,28000,260000,1000 unid,,87,TRUE
H1-0089,Ensaladera Aruba cristal (900cc) (tapa 170),ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,500,3600,17000,31000,285000,1000 unid,,89,TRUE
H1-0091,Ensaladera / tortera Lisboa Baja (600cc) (tapa 170 cristal o base genoa negra),ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,600,4600,20500,38000,350000,1000 unid,,91,TRUE
H1-0092,Ensaladera / tortera Lisboa Alta (900 cc) (tapa 170 cristal o base genoa negra),ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,700,5300,24000,44000,410000,1000 unid,,92,TRUE
H1-0094,Tapa Domo 170 cristal p/ todas las ensaladera,ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,400,2500,10500,19500,180000,1000 unid,,94,TRUE
H1-0095,Base Black 170 p/ todas las ensaladera,ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,400,2600,11000,20500,190000,1000 unid,,95,TRUE
H1-0097,Ensaladera circular Polipapel 750 cc,ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,600,4000,17000,32000,85500,caja x 300 unid,,97,TRUE
H1-0098,Tapa plastica para ensaladera 750 cc,ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,300,2500,11000,20000,54000,caja x 300 unid,,98,TRUE
H1-0100,Ensaladera circular Polipapel 1000 cc,ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,600,4500,20000,38000,102000,caja x 300 unid,,100,TRUE
H1-0101,Tapa plastica para ensaladera 1000 cc,ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,400,3000,13000,24000,63000,caja x 300 unid,,101,TRUE
H1-0103,Ensaladera circular Polipapel 1100 cc,ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,600,4500,20000,38000,102000,caja x 300 unid,,103,TRUE
H1-0104,Tapa plastica para ensaladera 1100 cc,ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,400,3000,13000,24000,63000,caja x 300 unid,,104,TRUE
H1-0106,Ensaladera cartulina encerada con orificio pote adereso para Take Away Blanca,ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,500,4500,20000,,63900,100 unid,,106,TRUE
H1-0107,Wok con Barrera Antigrasa - 500 cm3 - Cartulina Natural,ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,700,5500,21500,,39000,bulto x 180 unid,,107,TRUE
H1-0109,Triangulo para Sandwich de miga plastico con tapa (Bandex),ENSALADERA plasticas y polipapel y TRIANGULO MIGA/ porcion torta,,500,3000,13500,25000,67500,caja x 375 unid,,109,TRUE
H1-0111,Bandeja descartable p/ sushi con tapa,BANDEJA PARA SUSHI,,1000,8500,40000,71000,157500,250 unid,,111,TRUE
H1-0114,Caja pizza gris grande x 100 unid. (super reforzada) N°6,CAJAS DE PIZZA // EMPANADAS Y mas,,,,,13500,,,,114,TRUE
H1-0116,Caja pizza gris grande x 100 unid. (impresa),CAJAS DE PIZZA // EMPANADAS Y mas,,,,,14500,,,,116,TRUE
H1-0117,Caja pizza marron micro grande OCTOGONAL x 50 unid.,CAJAS DE PIZZA // EMPANADAS Y mas,,,,,,,,,117,TRUE
H1-0118,Caja pizza marron micro grande x 50 unid. (Van),CAJAS DE PIZZA // EMPANADAS Y mas,,,3500,12500,,220000,x 20 paquetes,,118,TRUE
H1-0119,Caja pizza marron micro grande x 50 unid. (Aconcagua),CAJAS DE PIZZA // EMPANADAS Y mas,,,,10000,,,x 20 paquetes,,119,TRUE
H1-0120,Caja pizza marron micro grande x 50 unid. (Aconcagua) Impresa Atgentina,CAJAS DE PIZZA // EMPANADAS Y mas,,,,10500,,,,,120,TRUE
H1-0122,Caja pizza 50x50 x 100 unid,CAJAS DE PIZZA // EMPANADAS Y mas,,,,,103000,,,,122,TRUE
H1-0124,Caja pizza marron micro chica x 100 unid. (Van),CAJAS DE PIZZA // EMPANADAS Y mas,,400,3000,,25000,,,,124,TRUE
H1-0125,Caja pizza marron micro chica x 50 unid. (Aconcagua),CAJAS DE PIZZA // EMPANADAS Y mas,,,,8500,,,x 1000 unid,,125,TRUE
H1-0126,Caja pizza gris chica x 100 unid. (Van),CAJAS DE PIZZA // EMPANADAS Y mas,,,,,,,,"x 10: ,",126,TRUE
H1-0128,Caja carton microcorrugado DFX (15x11x7),/ EMPANADAS Y mas,,500,3500,,25000,220000,x 1000,,128,TRUE
H1-0129,Caja carton microcorrugado DFX (15x11x7) CON VISOR,/ EMPANADAS Y mas,,800,6500,,55000,490000,x 1000,,129,TRUE
H1-0130,"Caja carton microcorrugado (E2) 28x28x6,5",/ EMPANADAS Y mas,,500,3500,,31000,280000,x 1000,,130,TRUE
H1-0131,"Caja carton microcorrugado (E2) 28x28x6,5 CON VISOR",/ EMPANADAS Y mas,,1000,8500,,75000,680000,x 1000,,131,TRUE
H1-0132,"Cajas de empanadas de una docena ( E6) x 100 unid.(18*20*7,5)",/ EMPANADAS Y mas,,600,4000,,28000,250000,x 1000,,132,TRUE
H1-0133,"Cajas de empanadas de una docena ( E6) x 100 unid.(18*20*7,5) Con/VISOR",/ EMPANADAS Y mas,,800,6000,,49000,440000,x 1000,,133,TRUE
H1-0134,Cajas de empanadas de una docena ( E12) x 100 unid.(19*25*6),/ EMPANADAS Y mas,,600,4000,,30000,260000,x 1000,,134,TRUE
H1-0135,Cajas de empanadas de una docena ( E12N) x 100 unid.(19*27*6),/ EMPANADAS Y mas,,600,4000,,30000,260000,x 1000,,135,TRUE
H1-0136,Caja Empanada doc y media (E18) microcorrugado (24*26*7),/ EMPANADAS Y mas,,600,4000,,29000,260000,x 1000,,136,TRUE
H1-0137,Caja Empanada doc y media (E18) microcorrugado (24*26*7) CON VISOR,/ EMPANADAS Y mas,,800,6000,,48000,420000,x 1000,,137,TRUE
H1-0138,Cajas de empanadas de una docena ( E24) x 100 unid.(32*17*7),/ EMPANADAS Y mas,,500,3500,,30000,260000,x 1000,,138,TRUE
H1-0140,Caja Hamburguesa Nueva (21x16x8),/ EMPANADAS Y mas,,600,4000,,28000,250000,x 1000,,140,TRUE
H1-0142,Caja Minitorta Micro marron ciega (Andre) 19x19x10,/ EMPANADAS Y mas,,600,4000,,32000,290000,x 1000,,142,TRUE
H1-0144,Caja explosiva 12 Micro (12x12x10),/ EMPANADAS Y mas,,700,5500,,43500,390000,x 1000,,144,TRUE
H1-0145,Caja explosiva 15 micro (15x15x15),/ EMPANADAS Y mas,,800,6500,,59000,52000,x 1000,,145,TRUE
H1-0147,"Mini alfajor carton ecologico sin visor (20x12x5,5) Van",/ EMPANADAS Y mas,,400,2500,11000,19000,170000,Bulto x 1000,,147,TRUE
H1-0148,"Mini alfajor carton ecologico con visor (20x12x5,5) Van",/ EMPANADAS Y mas,,700,5000,22000,42000,370000,Bulto x 1000,,148,TRUE
H1-0150,Caja Valija Mini (11x11x5) sin cordon,/ EMPANADAS Y mas,,500,3500,,29000,260000,x 1000,,150,TRUE
H1-0151,Caja Valija maquillaje (14x20x6) sin cordon,/ EMPANADAS Y mas,,500,4000,,31000,280000,x 1000,,151,TRUE
H1-0152,Caja Valija Botella (18x34x10) Sin cordon,/ EMPANADAS Y mas,,900,7500,,69000,610000,x 1000,,152,TRUE
H1-0153,Cordon para caja valija x mts,/ EMPANADAS Y mas,,300,500,,,13000,x 50 mts,Unidad: 1/2 metro $300 · x 10: x metro $ 500 · x 50: x 10 mts 3000,153,TRUE
H1-0155,Cajas de ravioles Microcorrugado Super fuertes impresas,/ EMPANADAS Y mas,,800,7000,,64000,,,,155,TRUE
H1-0156,Cajas de ravioles ecologica Marron,/ EMPANADAS Y mas,,,,,,,,,156,TRUE
H1-0157,Cajas de ravioles eco gris,/ EMPANADAS Y mas,,,,,17000,150000,x 1000 unid,,157,TRUE
H1-0158,Cajas de ravioles cartulina Blancas,/ EMPANADAS Y mas,,,,,21000,185000,x 1000 unid,,158,TRUE
H1-0159,Cajas para pastas cartulina impresa en tapa y dorso con tips y consejos,/ EMPANADAS Y mas,,,2500,10500,19000,,x500 unid,,159,TRUE
H1-0161,Fondo pizza satinado por kg. Grande o chico,/ EMPANADAS Y mas,,3500,,,,31000,10 kilos,,161,TRUE
H1-0162,Fondo Raviolero satinado (19x27) x kg,/ EMPANADAS Y mas,,5100,,,,45000,10 kilos,,162,TRUE
H1-0164,Fajas de carton grande (por kg) 60/70 cm y 40 cm . Satinada,/ EMPANADAS Y mas,,2400,,,,22000,10 kilos,,164,TRUE
H1-0166,Tripode para pizza x Kg,/ EMPANADAS Y mas,,2200,,,,20000,x 10 kg,,166,TRUE
H1-0168,Papel diario blanco cortado en hojas x kg (25x30 //30x40 35x45 // 40x50 // 50x70 // 60x90),PAPEL SULFITO Y FANTASIA,,2700,,,,24000,10 kilos,,168,TRUE
H1-0170,"Papel x bobina diario prensa (48,8 grs) x KG",PAPEL SULFITO Y FANTASIA,,2700,,,,2400,,,170,TRUE
H1-0172,Bobina SULTIFO SEIN express MOVAR (150 mts) 40 cm,PAPEL SULFITO Y FANTASIA,,9100,,,,81000,x 10 rollos,,172,TRUE
H1-0173,Bobina SULTIFO SEIN express MOVAR (150 mts) 60 cm,PAPEL SULFITO Y FANTASIA,,14000,,,,125000,x 10 rollos,,173,TRUE
H1-0175,Papel Panaderia/ fantasia x Kg,PAPEL SULFITO Y FANTASIA,,3000,,,,2700,,,175,TRUE
H1-0177,papel parafinado impreso para hamburguesa x Kg (30x40),PAPEL SULFITO Y FANTASIA,,16800,,,,150000,bulto x 10 kg,,177,TRUE
H1-0178,papel parafinado Liso para hamburguesa x Kg (30x40),PAPEL SULFITO Y FANTASIA,,,,,,,Bulto x 10 kg,,178,TRUE
H1-0180,Papel Termico plata para hamburguesas (30x40) (1kg aprox 160 hojas),PAPEL SULFITO Y FANTASIA,,22500,,,,20000,bulto x 10 kg,,180,TRUE
H1-0182,papel en rollo Kraft liso (60/70 grs)en bobina x Kg,PAPEL SULFITO Y FANTASIA,,2000,,,,1800,,,182,TRUE
H1-0184,Papel en rollo FANTASIA en bobina x Kg,PAPEL SULFITO Y FANTASIA,,3000,,,,,,,184,TRUE
H1-0185,Papel en rollo FANTASIA cristal en bobina x Kg,PAPEL SULFITO Y FANTASIA,,3100,,,,,,,185,TRUE
H1-0187,Papel fantasia Express Cristal bobina 40 cm (150 mts),PAPEL SULFITO Y FANTASIA,,20000,,,,,,,187,TRUE
H1-0188,Papel fantasia Express Sulfito bobina 40 cm (150 mts),PAPEL SULFITO Y FANTASIA,,17000,,,,,,,188,TRUE
H1-0189,Papel fantasia Express Kraft bobina 40cm (150 mts),PAPEL SULFITO Y FANTASIA,,15000,,,,,,,189,TRUE
H1-0190,Papel fantasia Express DORADA bobina 40cm (150 mts),PAPEL SULFITO Y FANTASIA,,21000,,,,,,,190,TRUE
H1-0191,Papel fantasia Express 4 colores bobina 40 cm (150 mts),PAPEL SULFITO Y FANTASIA,,21000,,,,,,,191,TRUE
H1-0193,Papel fantasia Express cristal bobina 60 cm (150 mts),PAPEL SULFITO Y FANTASIA,,28000,,,,,,,193,TRUE
H1-0194,Papel fantasia Express Sulfito bobina 60 cm (150 mts),PAPEL SULFITO Y FANTASIA,,25000,,,,,,,194,TRUE
H1-0195,Papel fantasia Express Kraft bobina 60cm (150 mts),PAPEL SULFITO Y FANTASIA,,18000,,,,,,,195,TRUE
H1-0196,Papel fantasia Express DORADA bobina 60cm (150 mts),PAPEL SULFITO Y FANTASIA,,30000,,,,,,,196,TRUE
H1-0197,Papel fantasia Express 4 colores bobina 60 cm (150 mts),PAPEL SULFITO Y FANTASIA,,29000,,,,,,,197,TRUE
H1-0199,Bobina Papel fantasia MURESCO 35 cm x 200 mts,PAPEL SULFITO Y FANTASIA,,31000,,,,280000,x 10 rollos,,199,TRUE
H1-0200,Bobina Papel fantasia MURESCO 60 cm x 150 mts,PAPEL SULFITO Y FANTASIA,,42000,,,,380000,x 10 rollos,,200,TRUE
H1-0202,Bobina papel fantasia premiun (BP) 40cm x 100 mts,PAPEL SULFITO Y FANTASIA,,18000,,,,,x 10 rollos,,202,TRUE
H1-0203,Bobina papel fantasia premiun (BP) 60cm x 100 mts,PAPEL SULFITO Y FANTASIA,,25000,,,,,x 10 rollos,,203,TRUE
H1-0205,Bobina FANTASIA // PANADERIA Eco X x 120 mts. 40 cm,PAPEL SULFITO Y FANTASIA,,12500,,,,110000,x 10 rollos,,205,TRUE
H1-0206,Bobina FANTASIA // PANADERIA Eco X x 120 mts. 60 cm,PAPEL SULFITO Y FANTASIA,,16500,,,,145000,x 10 rollos,,206,TRUE
H1-0208,Bobina Fantasia (Jp) x 180 mts 40 cm,PAPEL SULFITO Y FANTASIA,,21000,,,,190000,x 10 rollos,,208,TRUE
H1-0210,"Bobina papel eco red Kraft ""Panal"" 48 cm x 50 mts",PAPEL SULFITO Y FANTASIA,,19000,,,,165000,x 10 rollos,,210,TRUE
H1-0212,Porta rollo de 40 cm.,PAPEL SULFITO Y FANTASIA,,39000,,,,350000,x 10 unid,,212,TRUE
H1-0213,Porta rollo de 60 cm.,PAPEL SULFITO Y FANTASIA,,63000,,,,560000,x 10 unid,,213,TRUE
H1-0214,Porta rollo combinado 40-60,PAPEL SULFITO Y FANTASIA,,,,,,,x 10 unid,,214,TRUE
H1-0216,Papel Seda P. 50x70 BLANCO,PAPEL DE SEDA Y PAPEL CELOFAN,,200,1300,4500,,40000,500 unid,,216,TRUE
H1-0217,Papel Seda P. 50x70 COLOR (20 mc),PAPEL DE SEDA Y PAPEL CELOFAN,,200,1300,4500,,40000,500 unid,,217,TRUE
H1-0218,Papel Seda P. ORO // PLATEADA 50x70 (20 mc),PAPEL DE SEDA Y PAPEL CELOFAN,,500,4000,16500,,147000,500 unid,,218,TRUE
H1-0220,Seda Personalizado 50x 70,PAPEL DE SEDA Y PAPEL CELOFAN,,,,,,90000,x 200 unid,,220,TRUE
H1-0222,Papel CELOFAN 55x90 (20 micrones),PAPEL DE SEDA Y PAPEL CELOFAN,,200,1500,5000,,,,,222,TRUE
H1-0223,Papel CELOFAN 70x100 (30 mc),PAPEL DE SEDA Y PAPEL CELOFAN,,500,3000,,22000,200000,1000 hojas,,223,TRUE
H1-0225,Papel regalo fino importado 50 x 70 (paq de 50 unid),PAPEL DE REGALO y CONTAC,,,,,,,,,225,TRUE
H1-0227,Papel regalo hologramado 50x70 (paq x 100 hojas),PAPEL DE REGALO y CONTAC,,400,2500,,18500,165000,x 1000 unid,,227,TRUE
H1-0229,Papel regalo fino importado x 100 unid. 50x70 (4 motivos),PAPEL DE REGALO y CONTAC,,,,,,,,,229,TRUE
H1-0231,Papel regalo 50x70 Blister x 2 + 2 Moños,PAPEL DE REGALO y CONTAC,,500,,,,,10 blister,,231,TRUE
H1-0233,Papeles de regalo MURESCO premium 70x100 cm,PAPEL DE REGALO y CONTAC,,800,6500,,,56000,x 100 unid,,233,TRUE
H1-0234,Papeles de regalo MURESCO premium 70x100 cm promooo,PAPEL DE REGALO y CONTAC,,,5500,,,47000,x 100 unid,,234,TRUE
H1-0235,Papeles de Regalo 70x 100 cm Promo Murillo ( paquete x 20 hojas),PAPEL DE REGALO y CONTAC,,,,,,,x 10 paq,,235,TRUE
H1-0237,Papel regalo 70x100 cm papel ilustracion 90 grs impresión 2 colores,PAPEL DE REGALO y CONTAC,,800,6000,,,54000,x 100 unid,,237,TRUE
H1-0238,Papel regalo 70x100 cm papel ilustracion 90 grs impresión 2 colores cora dorado,PAPEL DE REGALO y CONTAC,,800,6000,,,54000,x 100 unid,,238,TRUE
H1-0240,Contac transparente ( en rollo ),PAPEL DE REGALO y CONTAC,,1200,,,9800,87000,10 rollos x 10 mts,Unidad: x mt $1200 · x 100: rollo 10 mts $ 9800,240,TRUE
H1-0242,Hilo algodón barrilete ovillo de 33 grs (cod 23),HILOS,,300,2600,,,23000,10 paq x 10 unid,,242,TRUE
H1-0244,Hilo Choricero ovillo x 33 grs (cod 33/34),HILOS,,400,3400,,,30000,10 paq x 10 unid,,244,TRUE
H1-0246,Hilo algodón crudo grande 3 hebras Pizzerito bobinas x 80 mts. (cod 1032),HILOS,,500,3500,,,6000,caja x 20 bobinas,,246,TRUE
H1-0247,Hilo algodón crudo grande 3 hebras Pizzero x 250 grs. (cod 1034),HILOS,,1700,,,,16800,caja x 12 bobinas,,247,TRUE
H1-0248,Hilo chorizero amarillo grande x 250 grs (cod 1130),HILOS,,2400,,,,25200,bulto x 12 bobinas,,248,TRUE
H1-0249,Hilo Algodón Bicolor grande Pulido español x 250 grs. (cod 1185),HILOS,,2500,,,,27600,caja x 12 bobinas,,249,TRUE
H1-0250,Hilo Algodón Bicolor (Crudo y Rojo) bobinas x 250 grs (cod 1153),HILOS,,2200,,,,24000,caja x 12 bobinas,,250,TRUE
H1-0252,Hilo Algodón Bicolor (crudo /color)G5/M8 bobinas 50 grs (cod 1152),HILOS,,800,,,,10000,caja x 20 bobinas,,252,TRUE
H1-0254,Hilo BiColor y color pleno ovillos 33 grs (cod 10),HILOS,,400,2800,,,24500,10 paq x 10 unid,,254,TRUE
H1-0256,"Hilo algodón "" Variedad"" 5 colores al acqua bobina x 33 grs ( cod 9)",HILOS,,400,3100,,,27000,10 paq x 10 unid,,256,TRUE
H1-0258,Hilo chico bicolor amarillo y rojo (110 grs),HILOS,,800,6500,,,,,,258,TRUE
H1-0260,Hilo Algodón Veteado (crudo y firme) 40 hebras bobina x 135 mts (cod 1222),HILOS,,4100,,,,21600,caja de 6 bobinas,,260,TRUE
H1-0262,Hilo Macrame colores Firme ovillo 30 mts ( cod 1199),HILOS,,1200,10000,,,,caja x 24 ovillos,,262,TRUE
